0,Ability Description,Ability Name,Ability Tier,Cost,Skill Unit 1,,Multiplier,SkillUnit 2,,Multiplier,SkillUnit 3,,Multiplier,SkillUnit 4,,,Apply1,Apply2,Apply3,IconImage
1,,Swap,Low,0,Sacrifice,MaxHP,1,Protect,Draw,1,,,,,,,Exhaust,,,Exchange
2,,Exchange,Low,0,Sacrifice,Draw,1,InstantBoost,Draw,2,,,,,,,Exhaust,,,Exchange
3,,Pain Draw,Medium,0,Sacrifice,MaxHP,2,InstantBoost,Draw,2,,,,,,,Exhaust,,,Pick
4,,Remember,Low,1,Protect,Draw,1,,,,,,,,,,,,,Idea
5,,Prepare,Low,1,Buff,Draw,2,,,,,,,,,,,,,ThumbUp
6,Deal 10% / 15% of MaxHP damage to the opponent,Tackle,Low,1,Damage,MaxHP,2,,,,,,,,,,,,,Run
7,Deal 25% of Agility and 25% of Agility damage to the opponent.,Swift,Low,0,Damage,Agility,2,Damage,Agility,2,,,,,,,,,,Bird
8,,Block Attack,Low,0,Damage,Protect,4,,,,,,,,,,,,,ShieldBash
9,Deal 70% of Strength damage to the opponent,Fire Attack,Low,0,Damage,Strength,4,,,,,,,,,,Fire,,,FireRay
10,Deal 70% of Agility damage to the opponent.,Water Attack,Low,0,Damage,Agility,4,,,,,,,,,,Water,,,WaterDrops
11,Deal 70% of Intelligence damage to the opponent.,Ice Attack,Low,0,Damage,Intelligence,4,,,,,,,,,,Water,,,IceArrow
12,Deal 70% of Agility damage to the opponent.,Thunder Attack,Low,0,Damage,Agility,4,,,,,,,,,,Thunder,,,LightningTrio
13,Deal 70% of Strength damage to the opponent.,Earth Attack,Low,0,Damage,Strength,4,,,,,,,,,,Earth,,,Earth
14,Deal 150% of Agility damage to the opponent.,Wind Attack,Low,0,Damage,Agility,4,,,,,,,,,,Wind,,,WindSlap
15,,Light Attack,Low,0,Damage,Intelligence,4,,,,,,,,,,Light,,,OrbShining
16,Deal 70% of Intelligence damage to the opponent.,Dark Attack,Low,0,Damage,Intelligence,4,,,,,,,,,,Dark,,,EvilHand
17,"Deal 40% of Strength, 40% of Agility and 40% of Intelligence damage to the opponent. Apply 3 Restrain to the opponent.",Wrap,Low,1,Damage,Strength,3,Damage,Agility,3,Damage,Intelligence,3,Debuff,Restrain,3,,,,Tentacles
18,Deal 70% of Agility damage to the opponent. Apply 2 Injury to the opponent.,Leg Sweep,Low,0,Damage,Agility,4,Debuff,Injury,2,,,,,,,,,,Slash
19,,Hit Bruises,Low,0,Damage,Strength,4,Debuff,Injury,2,,,,,,,,,,Injury
20,Deal 40% of Agility damage to the opponent. Apply 1 Bleed to the opponent.,Cut Bleed,Low,0,Damage,Agility,3,Debuff,Bleed,1,,,,,,,,,,Bleed
21,"Deal 5% / 10% of MaxHP, 70% of Strength and 70% of Strength damage to the opponent. Apply 1 Dizzy to the opponent.",Magnitude 5,Low,2,Damage,MaxHP,1,Damage,Strength,4,Damage,Strength,4,Debuff,Wind,1,Earth,,,Earth
22,DEal100% of Intelligence damage to the opponent. Apply 3 Insane to the opponent.,Mind Power,Low,1,Damage,Intelligence,5,Debuff,Insane,3,,,,,,,,,,Focus
23,Deal 40% of Strength and 40% of Strength damage to the opponent.,Punch,Low,1,Damage,Strength,3,Damage,Strength,3,,,,,,,,,,Punch
24,"Deal 25% of Agility, 25% of Agility and 10% of Agility damage to the opponent.",Throw Stones,Low,1,Damage,Agility,2,Damage,Agility,2,Damage,Agility,1,,,,,,,Stones
25,Deal 100% of Agility damage to the opponent.,Shoot,Low,1,Damage,Agility,5,,,,,,,,,,,,,Bow
26,Apply 6 Agility Action Buff on self. Deal 70% of Agility damage to the opponent.,Gun,Low,1,InstantBoost,Agility,6,Damage,Agility,4,,,,,,,,,,Pistol
27,Deal 100% of Intelligence damage,Cast Spell,Low,1,Damage,Intelligence,5,,,,,,,,,,,,,Staff
28,Deal 100% of Strength damage,Slash,Low,1,Damage,Strength,5,,,,,,,,,,,,,Slash
29,Deal 40% of Agility and 40% of agility damage to the opponent.,Stab,Low,1,Damage,Agility,3,Damage,Agility,3,,,,,,,,,,Dagger
30,Deal 40% of Intelligence and 40% of Intelligence to the opponent.,Staff Attack,Low,1,Damage,Intelligence,3,Damage,Intelligence,3,,,,,,,,,,Staff
31,Deal 70% of Agility and 40% of Agility damage to the opponent.,Double Shoot,Low,1,Damage,Agility,4,Damage,Agility,3,,,,,,,,,,DoubleShoot
32,Deal 70% of Strength and 40% of Strength damage to the opponent,Double Slash,Low,1,Damage,Strength,4,Damage,Strength,3,,,,,,,,,,DoubleSlash
33,Lose 10% of current Max Health. Deal 150% of Strength damage to the opponent.,Bomb,Low,1,Sacrifice,MaxHP,1,Damage,Strength,6,,,,,,,,,,Bomb
34,Deal 15% / 25% of MaxHP damage to the opponent,Body Slam,Low,1,Damage,MaxHP,3,,,,,,,,,,,,,GroundBreaker
35,Deal 40% of Agility and 70% of Agility damage to the opponent.,Kick,Low,1,Damage,Agility,3,Damage,Agility,4,,,,,,,,,,Kick
36,Lose 10% of current max Health. Deal 150% of Strength damage to the opponent.,Hammer Attack,Low,1,Sacrifice,MaxHP,1,Damage,Strength,6,,,,,,,,,,Hammer
37,Deal 40% of Agility and 40% of Strength damage to the opponent. Apply 1 Bleed to the opponent.,Bite,Low,1,Damage,Agility,3,Damage,Strength,3,Debuff,Bleed,1,,,,,,,Bite
38,,Snowballs,Low,0,Damage,Strength,3,Damage,Strength,3,,,,,,,Water,,,StrikingBalls
39,"Deal 40% of Strength, 40% of Strength and 25% of Agility damage to the opponent.",Brawl,Low,1,Damage,Strength,3,Damage,Strength,3,Damage,Agility,3,,,,,,,Fist
40,Deal 200% of Strength damage to the opponent.,Pure Force,Low,2,Damage,Strength,7,,,,,,,,,,,,,Charge
41,Deal 70& of Intelligence and 70% of Intelligence damage to the opponent. Apply 1 Burn to the opponent,Book Magic Fire,Low,2,Damage,Intelligence,4,Damage,Intelligence,4,Debuff,Fire,1,,,,Fire,,,SpellBook
42,Deal 70& of Intelligence and 70% of Intelligence damage to the opponent. Apply 1 Chill to the opponent,Book Magic Ice,Low,2,Damage,Intelligence,4,Damage,Intelligence,4,Debuff,Water,1,,,,Water,,,SpellBook
43,Deal 70& of Intelligence and 70% of Intelligence damage to the opponent. Apply 1 Paralysis to the opponent,Book Magic Thunder,Low,2,Damage,Intelligence,4,Damage,Intelligence,4,Debuff,Thunder,1,,,,Thunder,,,SpellBook
44,Deal 70& of Intelligence and 70% of Intelligence damage to the opponent. Apply 1 Dizzy to the opponent,Book Magic Earth,Low,2,Damage,Intelligence,4,Damage,Intelligence,4,Debuff,Earth,1,,,,Earth,,,SpellBook
45,Deal 70& of Intelligence and 70% of Intelligence damage to the opponent. Apply 1 Dizzy to the opponent,Book Magic Wind,Low,2,Damage,Intelligence,4,Damage,Intelligence,4,Debuff,Wind,1,,,,Wind,,,SpellBook
46,Deal 70& of Intelligence and 70% of Intelligence damage to the opponent. Apply 1 Blind to the opponent,Book Magic Light,Low,2,Damage,Intelligence,4,Damage,Intelligence,4,Debuff,Light,1,,,,Light,,,SpellBook
47,Deal 70& of Intelligence and 70% of Intelligence damage to the opponent. Apply 1 Depress to the opponent,Book Magic Dark,Low,2,Damage,Intelligence,4,Damage,Intelligence,4,Debuff,Dark,1,,,,Dark,,,SpellBook
48,Apply 1 Intelligence Buff on self. Recover 150% Inteligence health.,Book Magic Heal,Low,2,Buff,Intelligence,1,Heal,Intelligence,6,,,,,,,Humanoid,,,SpellBook
49,Recover 10% / 15% of MaxHP health.,Recover,Low,0,Heal,MaxHP,2,,,,,,,,,,,,,Healing
50,Recover 70% of Agility health.,Bandage,Low,0,Heal,Agility,4,,,,,,,,,,,,,Bandage
51,Recover 70% of Intelligence health.,Heal,Low,0,Heal,Intelligence,4,,,,,,,,,,,,,Healing
52,,Burning Passion,Low,1,Buff,Strength,1,Heal,Strength,4,,,,,,,Fire,,,BurningPassion
53,Recover 70% of Agility and 70% of Agility health.,Medicine,Low,1,Heal,Agility,4,Heal,Agility,4,,,,,,,Exhaust,,,Remedy
54,Recover 40% of Agility and 40% of Agility health.,Pill,Low,0,Heal,Agility,3,Heal,Agility,3,,,,,,,Exhaust,,,Medicines
55,Recover 100% of Intelligence health,Cure,Low,1,Heal,Intelligence,5,,,,,,,,,,,,,Healing
56,Apply Charge on self.,Charge,Low,1,InstantBoost,Charge,0,,,,,,,,,,,,,Charge
57,Apply Guard on self.,Guard,Low,1,InstantBoost,Guard,0,,,,,,,,,,,,,Guard
58,Apply 5 Agility Action Buff on self,Aim,Low,0,InstantBoost,Agility,5,,,,,,,,,,,,,Aim
59,Apply 3 Strength Action Buff on self.,Roar,Low,0,InstantBoost,Strength,3,,,,,,,,,,,,,Shout
60,Apply 5 Strength Action Buff on self,Bulk,Low,0,InstantBoost,Strength,5,,,,,,,,,,,,,Charge
61,Apply 1 Intelligence Buff and 2 Intelligence Action Buff on self.,Think,Low,0,Buff,Intelligence,1,InstantBoost,Intelligence,2,,,,,,,,,,Idea
62,Apply Stack Charge on self.,Stack Charge,Low,1,Buff,Charge,0,,,,,,,,,,,,,Charge
63,Apply Stack Guard on self,Stack Guard,Low,1,Buff,Guard,0,,,,,,,,,,,,,Guard
64,Apply 1 Fire Element on self,Fire Element,Low,0,Buff,Fire,1,,,,,,,,,,,,,Fire
65,Apply 1 Water Element on self,Water Element,Low,0,Buff,Water,1,,,,,,,,,,,,,Water
66,Apply 1 Thunder Element on self,Thunder Element,Low,0,Buff,Thunder,1,,,,,,,,,,,,,Thunder
67,Apply 1 Earth Element on self,Earth Element,Low,0,Buff,Earth,1,,,,,,,,,,,,,Earth
68,Apply 1 Wind Element on self,Wind Element,Low,0,Buff,Wind,1,,,,,,,,,,,,,Wind
69,Apply 1 Light Element on self,Light Element,Low,0,Buff,Light,1,,,,,,,,,,,,,Light
70,Apply 1 Dark Element on self,Dark Element,Low,0,Buff,Dark,1,,,,,,,,,,,,,Dark
71,,Extinguisher,Low,0,Protect,Fire,0,,,,,,,,,,,,,BurnRecover
72,,Warm Heat,Low,0,Protect,Water,0,,,,,,,,,,,,,ChillRecover
73,,Rehabilitation,Low,0,Protect,Thunder,0,,,,,,,,,,,,,ParalysisRecover
74,Remove all DIzzy and Winde Vulnerable from self.,Stay Mindful,Low,0,Protect,Wind,0,,,,,,,,,,,,,DizzyRecover
75,,Herbicide,Low,0,Protect,Earth,0,,,,,,,,,,,,,SeedRecover
76,Remove all Blind and Light Vulnerable from self.,Sun Glasses,Low,0,Protect,Light,0,,,,,,,,,,,,,BlindRecover
77,,Love & Caring,Low,0,Protect,Dark,0,,,,,,,,,,,,,DepressRecover
78,,Hemotasis,Low,0,Protect,Bleed,0,,,,,,,,,,,,,BleedRecover
79,,Treatment,Low,0,Protect,Injury,0,,,,,,,,,,,,,InjuryRecover
80,,Antidote,Low,0,Protect,Venom,0,,,,,,,,,,,,,VenomRecover
81,,Unchain,Low,0,Protect,Restrain,0,,,,,,,,,,,,,RestrainRecover
82,,Sedative,Low,0,Protect,Insane,0,,,,,,,,,,,,,InsaneRecover
83,Apply 1 Agility and 1 Strength Buff on self.,Stretch,Low,1,Buff,Agility,1,Buff,Strength,1,,,,,,,,,,Leg
84,Apply 1 Burn to the opponent,Cast Burn,Low,0,Debuff,Fire,1,,,,,,,,,,,,,Burn
85,Apply 1 Chill to the opponent,Cast Chill,Low,1,Debuff,Water,1,,,,,,,,,,,,,Chill
86,Apply 1 Paralysis to the opponent,Cast Paralysis,Low,0,Debuff,Thunder,1,,,,,,,,,,,,,Paralysis
87,Apply 1 Dizzy to the opponent,Cast Dizzy,Low,0,Debuff,Wind,1,,,,,,,,,,,,,Dizzy
88,Apply 1 Seed to the opponent,Cast Seed,Low,0,Debuff,Earth,1,,,,,,,,,,,,,Seed
89,Apply 1 Blind to the opponent,Cast Blind,Low,0,Debuff,Light,1,,,,,,,,,,,,,Blind
90,Apply 1 Depress to the opponent,Cast Depress,Low,0,Debuff,Dark,1,,,,,,,,,,,,,Depress
91,Apply 1 Venom to the opponent,Cast Venom,Low,0,Debuff,Venom,4,,,,,,,,,,,,,Venom
92,Apply 1 Restrain to the opponent,Cast Restrain,Low,0,Debuff,Restrain,4,,,,,,,,,,,,,Restrain
