Power Lv,Str/Agi/Int,MaxHP (Player),MaxHP (Enemy),,0,Ability/Switch Skill,Skill,Effect,Description,,0,Buff,Skill,Effect,MaxStack X,Upgrade MaxStack X,ActivateType,Stack Decrease At / Tick,Stack Increase At,Removed Directly At,Description,,0,Passive,Skill,Effect,Max Stacks,ActiveType,PassiveType,Description,,0,SkillType,0,EffectType
1,10%,10%,5%,,1,Raw Attack,Damage,Null,Deal X damage to the enemy,,1,Strength Action Buff,InstantBoost,Strength,15,20,StatusBoost,N/A,N/A,ActionCycleEnd,"Buff next action's Str attack, heal and protect l by 5X% (Consumed on use)",,1,Strength Turn Attack,TurnDamage,Strength,N/A,TurnEnd,JobOn,Deal X% Str damage to enemy in the end of turn,,1,Damage,1,Strength
2,25%,15%,10%,,2,Strength Attack,Damage,Strength,Deal X% damage based on Str to the enemy,,2,Agility Action Buff,InstantBoost,Agility,15,20,StatusBoost,N/A,N/A,ActionCycleEnd,"Buff next action's Agi attack, heal and protect  by 5X% (Consumed on use)",,2,Agility Turn Attack,TurnDamage,Agility,N/A,TurnEnd,JobOn,Deal X% Agi damage to enemy in the end of turn,,2,TurnDamage,2,Agility
3,40%,25%,15%,,3,Agility Attack,Damage,Agility,Deal X% damage based on Agi to the enemy,,3,Intelligence Action Buff,InstantBoost,Intelligence,15,20,StatusBoost,N/A,N/A,ActionCycleEnd,"Buff next action's Int attack, heal and protect by 5X% (Consumed on use)",,3,Intelligence Turn Attack,TurnDamage,Intelligence,N/A,TurnEnd,JobOn,Deal X% Int damage to enemy in the end of turn,,3,ActionDamage,3,Intelligence
4,70%,35%,20%,,4,Intelligence Attack,Damage,Intelligence,Deal X% damage based on Int to the enemy,,4,Max HP Action Buff,InstantBoost,MaxHP,15,20,StatusBoost,N/A,N/A,ActionCycleEnd,"Buff next action's MaxHP attack, heal and protect by 5X% (Consumed on use)",,4,Max HP Turn Attack,TurnDamage,MaxHP,N/A,TurnEnd,JobOn,Deal X% MaxHP damage to enemy in the end of turn,,4,Heal,4,MaxHP
5,100%,40%,25%,,5,HP Attack,Damage,MaxHP,Deal X% damage based on MaxHp to the enemy,,5,Protect Enhance,InstantBoost,Protect,10,15,Multiple,N/A,N/A,ActionCycleEnd,"Buff next action's protect gain, protect attack or heal by 10X% (Max 100%, consumed on use)",,5,Protect Turn Attack,TurnDamage,Protect,N/A,TurnEnd,JobOn,Deal X% Protect damage to enemy in the end of turn,,5,TurnHeal,5,Grind
6,150%,50%,30%,,6,Protect attack,Damage,Protect,Deal X% damage based on Protect Value to the enemy,,6,Charge ,InstantBoost,Charge,N/A,N/A,AttackEffect,N/A,N/A,ActionCycleEnd,"Increase next action's damage dealt by 30%, 50% if upgrade",,6,Strength Action Attack,ActionDamage,Strength,N/A,AfterAction,JobOn,Deal X% Str damage to enemy after every actions,,6,ActionHeal,6,Action
7,200%,70%,40%,,7,Fire Attack,Damage,Fire,"Consume all Fire element, deal X% elemental damage based on the strongest attributes to the opponent for each stack (Trigger Finale on max stacks)",,7,Guard,InstantBoost,Guard,N/A,N/A,GotAttacked,N/A,N/A,ActionCycleEnd,"Reduce damage received from one action by 30%, 40% if upgrade",,7,Agility Action Attack,ActionDamage,Agility,N/A,AfterAction,JobOn,Deal X% Agi damage to enemy after every actions,,7,InstantBoost,7,Draw
8,300%,100%,50%,,8,Water Attack,Damage,Water,"Consume all Water element, deal X% elemental damage based on the strongest attributes to the opponent for each stack (Trigger Finale on max stacks)",,8,Fire Action Buff,InstantBoost,Fire,15,20,Multiple,N/A,N/A,ActionCycleEnd,"For next action's Fire element attack or heal, boost 5X% (Consumed on use)",,8,Intelligence Action Attack,ActionDamage,Intelligence ,N/A,AfterAction,JobOn,Deal X% Int damage to enemy after every actions,,8,InstantNerf,8,Charge
,,,,,9,Thunder Attack,Damage,Thunder,"Consume all Thunder element, deal X% elemental damage based on the strongest attributes to the opponent for each stack (Trigger Finale on max stacks)",,9,Water Action Buff,InstantBoost,Water,15,20,Multiple,N/A,N/A,ActionCycleEnd,"For next action's Water element attack or heal, boost 5X% (Consumed on use)",,9,Max HP Action Attack,ActionDamage,MaxHP,N/A,AfterAction,JobOn,Deal X% MaxHP damage to enemy after every actions,,9,Buff,9,Guard
,,,,,10,Earth Attack,Damage,Earth,"Consume all Earth element, deal X% elemental damage based on the strongest attributes to the opponent for each stack (Trigger Finale on max stacks)",,10,Thunder Action Buff,InstantBoost,Thunder,15,20,Multiple,N/A,N/A,ActionCycleEnd,"For next action's Thunder element attack or heal, boost 5X% (Consumed on use)",,10,Protect Action Attack,ActionDamage,Protect,N/A,AfterAction,JobOn,Deal X% Protect damage to enemy after every actions ,,10,Debuff,10,Buff
